MAZE, WALLS,NODES EXPANDED, RUN TIME
10,10,35,828860
10,11,74,1901720
10,12,128,2831000
10,13,198,3438260
10,14,280,3732440
10,15,367,3856740
10,16,454,3949420
10,17,590,4048300
10,18,754,4162040
10,19,895,4330180
10,20,1075,4455480
11,10,1113,4480660
11,11,1160,4509120
11,12,1213,4533340
11,13,1274,4555000
11,14,1370,4589260
11,15,1449,4616240
11,16,1566,4657220
11,17,1684,4718100
11,18,1812,4761460
11,19,1963,4813880
11,20,2113,4876460
12,10,2149,4888240
12,11,2194,4903580
12,12,2246,4921260
12,13,2325,4948540
12,14,2395,4972160
12,15,2489,5035220
12,16,2592,5070920
12,17,2723,5116340
12,18,2865,5174580
12,19,2998,5234900
12,20,3171,5295660
13,10,3204,5306380
13,11,3246,5325600
13,12,3306,5346260
13,13,3365,5366780
13,14,3439,5391920
13,15,3519,5419440
13,16,3619,5454880
13,17,3748,5525580
13,18,3893,5580060
13,19,4033,5628100
13,20,4200,5686180
14,10,4239,5699120
14,11,4277,5712600
14,12,4326,5729420
14,13,4387,5750380
14,14,4459,5774840
14,15,4539,5813660
14,16,4650,5852300
14,17,4781,5907620
14,18,4922,5959960
14,19,5069,6010680
14,20,5256,6076360
15,10,5290,6087720
15,11,5326,6100000
15,12,5380,6122300
15,13,5441,6147320
15,14,5512,6171960
15,15,5612,6219620
15,16,5700,6250640
15,17,5824,6295340
15,18,5953,6341880
15,19,6082,6386520
15,20,6277,6564280
16,10,6310,6575960
16,11,6353,6590460
16,12,6407,6609400
16,13,6463,6628700
16,14,6524,6650100
16,15,6605,6678460
16,16,6712,6717100
16,17,6835,6761460
16,18,6968,6818140
16,19,7127,6887540
16,20,7286,6944600
17,10,7323,6957000
17,11,7361,6970260
17,12,7415,6989540
17,13,7469,7008060
17,14,7555,7076060
17,15,7638,7106040
17,16,7737,7140740
17,17,7842,7178180
17,18,7991,7231300
17,19,8119,7276420
17,20,8308,7345800
18,10,8342,7357640
18,11,8380,7371240
18,12,8424,7386140
18,13,8479,7404720
18,14,8549,7429160
18,15,8624,7455360
18,16,8712,7486880
18,17,8797,7516320
18,18,8922,7576700
18,19,9049,7622980
18,20,9196,7689580
19,10,9226,7700440
19,11,9261,7712640
19,12,9308,7728700
19,13,9364,7748140
19,14,9439,7774840
19,15,9513,7800240
19,16,9612,7833780
19,17,9712,7869660
19,18,9849,7917880
19,19,10012,7976200
19,20,10164,8060480
20,10,10194,8070660
20,11,10234,8084300
20,12,10289,8104300
20,13,10347,8124740
20,14,10419,8150100
20,15,10485,8173460
20,16,10586,8208840
20,17,10678,8241480
20,18,10792,8282960
20,19,10916,8327380
20,20,11065,8382120
