MAZE, WALLS,NODES EXPANDED, RUN TIME
10,10,36,687700
11,10,77,1484040
12,10,114,2224700
13,10,147,2711440
14,10,181,2812140
15,10,223,2910600
16,10,258,2962920
17,10,291,2999660
18,10,325,3039060
19,10,358,3071040
20,10,391,3102460
21,10,425,3136200
22,10,455,3161580
23,10,484,3185080
24,10,514,3304320
25,10,546,3359380
26,10,581,3389920
27,10,609,3413320
28,10,642,3442660
29,10,671,3467700
30,10,697,3495440
31,10,726,3710040
32,10,756,3736900
33,10,787,3767140
34,10,813,3796380
35,10,840,3814660
36,10,869,3841160
37,10,898,3860160
38,10,926,3876540
39,10,955,3894020
40,10,984,3912480
41,10,1014,3930040
42,10,1040,3950660
43,10,1070,3983820
44,10,1096,3998440
45,10,1123,4102260
46,10,1151,4112140
47,10,1178,4122380
48,10,1205,4132180
49,10,1232,4141680
50,10,1261,4151960
51,10,1287,4161080
52,10,1318,4171800
53,10,1346,4182180
54,10,1376,4192700
55,10,1403,4202180
56,10,1432,4212560
57,10,1460,4222880
58,10,1489,4233160
59,10,1516,4242700
60,10,1544,4252560
61,10,1572,4262480
62,10,1600,4272640
63,10,1626,4282180
64,10,1652,4291380
65,10,1679,4301120
66,10,1707,4311280
67,10,1734,4320720
68,10,1763,4331400
69,10,1791,4348040
70,10,1818,4357840
71,10,1845,4367380
72,10,1873,4377560
73,10,1903,4388340
74,10,1929,4397920
75,10,1956,4407020
76,10,1983,4416980
77,10,2012,4427480
78,10,2040,4437220
79,10,2068,4447260
80,10,2096,4457500
81,10,2124,4471240
82,10,2150,4482940
83,10,2178,4495960
84,10,2206,4507980
85,10,2233,4517900
86,10,2262,4528240
87,10,2289,4549820
88,10,2317,4560380
89,10,2344,4570040
90,10,2373,4609560
91,10,2399,4618880
92,10,2429,4630120
93,10,2458,4641080
94,10,2487,4651660
95,10,2516,4662160
96,10,2544,4672040
97,10,2571,4681800
98,10,2600,4694280
99,10,2628,4704540
100,10,2657,4715180
