MAZE, WALLS, NODES EXPANDED, RUN TIME
10,10,39,731060
11,10,82,1738580
12,10,123,2619460
13,10,163,3254800
14,10,199,4014580
15,10,237,4999680
16,10,277,5782380
17,10,312,6056460
18,10,346,6198580
19,10,385,6563100
20,10,417,6713000
21,10,450,6784000
22,10,485,6846700
23,10,522,6906500
24,10,555,7102720
25,10,589,7404220
26,10,624,7525940
27,10,656,7688140
28,10,695,7893720
29,10,729,7916060
30,10,760,7936940
31,10,796,7962420
32,10,828,7992220
33,10,860,8012780
34,10,890,8046720
35,10,921,8068220
36,10,957,8092800
37,10,989,8112700
38,10,1023,8145220
39,10,1056,8168040
40,10,1089,8200280
41,10,1123,8297000
42,10,1156,8310120
43,10,1189,8335980
44,10,1221,8349800
45,10,1254,8363420
46,10,1285,8375680
47,10,1322,8391000
48,10,1356,8404740
49,10,1389,8418720
50,10,1420,8431420
51,10,1454,8445120
52,10,1487,8458480
53,10,1521,8475820
54,10,1553,8488600
55,10,1584,8500920
56,10,1617,8513680
57,10,1650,8526400
58,10,1685,8540020
59,10,1721,8554380
60,10,1755,8568000
61,10,1788,8581240
62,10,1822,8594160
63,10,1855,8607540
64,10,1887,8619880
65,10,1922,8633420
66,10,1958,8647940
67,10,1991,8661240
68,10,2024,8673260
69,10,2060,8686440
70,10,2094,8698840
71,10,2126,8710780
72,10,2160,8723740
73,10,2195,8736100
74,10,2230,8749080
75,10,2264,8761740
76,10,2297,8774080
77,10,2330,8786480
78,10,2364,8798880
79,10,2397,8856980
80,10,2429,8869160
81,10,2461,8881020
82,10,2497,8894820
83,10,2532,8907900
84,10,2568,8921340
85,10,2603,8934340
86,10,2639,8948240
87,10,2673,8963760
88,10,2705,8980200
89,10,2741,8996000
90,10,2779,9012960
91,10,2815,9026620
92,10,2851,9039840
93,10,2884,9052680
94,10,2919,9066600
95,10,2955,9084920
96,10,2989,9101300
97,10,3026,9116760
98,10,3060,9129880
99,10,3096,9143700
100,10,3130,9156880
