MAZE, WALLS, NODES EXPANDED, RUN TIME
100,50,1354,30833000
100,50,684,21213000
100,50,1666,27930000
100,50,930,18764000
100,50,520,17416000
100,50,331,5901000
100,50,508,16280000
100,50,321,3566000
100,50,778,9675000
100,50,954,19915000
100,50,142,4694000
100,50,800,11436000
100,50,417,14062000
100,50,1063,24661000
100,50,532,15359000
100,50,665,8891000
100,50,1179,12561000
100,50,437,2444000
100,50,311,1896000
100,50,1156,17586000
100,50,775,8721000
100,50,530,3847000
100,50,547,12558000
100,50,414,2927000
100,50,494,1731000
100,50,491,1707000
100,50,1187,13330000
100,50,509,1352000
100,50,1080,3195000
100,50,317,1400000
100,50,723,2008000
100,50,870,2256000
100,50,316,812000
100,50,419,1541000
100,50,340,918000
100,50,692,1882000
100,50,1811,15148000
100,50,449,1392000
100,50,558,1485000
100,50,279,702000
100,50,788,3085000
100,50,897,2769000
100,50,664,1657000
100,50,667,1814000
100,50,506,1314000
100,50,696,1831000
100,50,471,3421000
100,50,620,1576000
100,50,735,2608000
100,50,660,2308000
100,50,1039,6703000

OVERALL AVERAGE
MAZE, WALLS, NODES EXPANDED, RUN TIME

100,50,705,7861620
