WALLS, MAZE,NODES EXPANDED, RUN TIME
10,10,32,512400
10,15,125,2669200
10,20,295,3636520
10,25,566,4007040
10,30,1008,4287400
10,35,1555,4696000
10,40,2308,4979740
10,45,3298,5402520
10,50,4701,5958760
10,55,6056,6500380
10,60,7608,7172080
10,65,9676,7963500
10,70,12335,9012440
10,75,15061,10088920
10,80,18249,11371100
10,85,22262,12944780
10,90,26466,14657120
10,95,30909,16982980
10,100,35471,18839440
10,105,40866,21182820
10,110,48135,24362280
10,115,55548,28689080
10,120,62673,34430200
10,125,71108,38424280
10,130,79431,42103300
10,135,89207,47528780
10,140,99471,53019300
10,145,110539,58481620
10,150,121948,63866640
