WALLS, MAZE,NODES EXPANDED, RUN TIME
1000,10,41,1215080
1000,15,115,2630660
1000,20,236,4458000
1000,25,378,4760840
1000,30,567,4925480
1000,35,770,5086120
1000,40,1047,5265900
1000,45,1425,5559280
1000,50,1914,5805240
1000,55,2433,6044060
1000,60,3132,6410760
1000,65,3992,6845000
1000,70,5163,7432080
1000,75,6486,8128040
1000,80,7937,8834160
1000,85,9649,9835940
1000,90,11675,11903760
1000,95,14070,13204080
1000,100,16556,14614420
1000,105,19374,16031820
1000,110,22871,18063760
1000,115,26641,21050040
1000,120,30838,23377420
1000,125,35236,25980120
1000,130,40426,29052220
1000,135,45606,32700320
1000,140,50867,36118320
1000,145,57437,39991900
1000,150,64609,44952580
