WALLS, MAZE,NODES EXPANDED, RUN TIME
10,10,37,1241480
10,11,80,2485820
10,12,138,3507660
10,13,205,3787760
10,14,280,4159580
10,15,368,4777500
10,16,465,4870780
10,17,580,4951920
10,18,711,5043500
10,19,876,5215320
10,20,1064,5332540
10,21,1270,5543340
10,22,1513,5632880
10,23,1762,5723880
10,24,1989,5803760
10,25,2264,5900360
10,26,2514,6063880
10,27,2859,6188180
10,28,3191,6305580
10,29,3579,6443560
10,30,3957,6632920
10,31,4384,6793180
10,32,4870,6967860
10,33,5323,7156400
10,34,5929,7369200
10,35,6453,7601440
10,36,6978,7880520
10,37,7538,8116540
10,38,8207,8381740
10,39,8995,8767480
10,40,9796,9092760
10,41,10633,9415140
10,42,11433,9766200
10,43,12240,10085460
10,44,13206,10449420
10,45,14315,10938840
10,46,15357,11384100
10,47,16429,11886120
10,48,17595,12400640
10,49,18863,12949640
10,50,19998,14334580
10,51,21280,14934780
10,52,22587,16093860
10,53,23930,16706940
10,54,25380,17421000
10,55,26901,18015280
10,56,28433,19184740
10,57,29922,20137880
10,58,31658,20906800
10,59,33322,21580600
10,60,35042,22221080
10,61,36636,23240820
10,62,38678,24494280
10,63,40448,25156060
10,64,42530,25975700
10,65,44635,28227600
10,66,46997,29164200
10,67,48983,30311340
10,68,51506,31276860
10,69,54003,32317060
10,70,56737,33754860
10,71,59163,34898180
10,72,61545,35864560
10,73,64400,38098760
10,74,67135,39306820
10,75,69763,41067920
10,76,72816,42975540
10,77,75962,44438980
10,78,79272,45968100
10,79,82156,47583280
10,80,85518,48954740
10,81,89092,50519320
10,82,92960,52743360
10,83,96752,54636740
10,84,100313,57544500
10,85,103898,58919480
10,86,107922,60905080
10,87,111253,62393880
10,88,115226,64069980
10,89,118962,66217060
10,90,123391,68359360
10,91,127855,70625340
10,92,132136,72511200
10,93,136227,75552320
10,94,140339,77306860
10,95,145121,80672200
10,96,149598,82931100
10,97,154473,85176180
10,98,159060,87535900
10,99,163992,89670900
10,100,169907,96666460
10,101,175250,99366700
10,102,179791,101542200
10,103,185491,104326800
10,104,190937,106894480
10,105,197220,110308280
10,106,202672,113130040
10,107,209197,115768140
10,108,214648,118473220
10,109,221423,122392580
10,110,227177,125912980
10,111,233850,128877440
10,112,241217,132332200
10,113,247123,135365740
10,114,253780,138533320
10,115,259813,141275280
10,116,267231,144527140
10,117,274302,148073740
10,118,281240,151226620
10,119,288874,154474640
10,120,296506,158445120
10,121,303608,162468560
10,122,311278,165937380
10,123,318974,169517340
10,124,326570,172900900
10,125,334480,176291440
10,126,343004,179980840
10,127,351594,183590540
10,128,359199,187152280
10,129,368282,191006760
10,130,376569,194616980
10,131,385374,198636740
10,132,394396,202634420
10,133,403000,206556260
10,134,413122,211224060
10,135,421723,215326360
10,136,431677,220089520
10,137,441138,226681880
10,138,451633,231969300
10,139,461583,236927800
10,140,471956,242576580
10,141,481762,247359040
10,142,491364,252025280
10,143,503155,257834300
10,144,515692,264573720
10,145,527038,275352840
10,146,538297,288279720
10,147,550653,295096040
10,148,562366,305880740
10,149,574331,314283560
10,150,584694,321966660
