WALLS, MAZE, NODES EXPANDED, RUN TIME
10,10,47,963080
10,11,102,1998460
10,12,170,3246820
10,13,242,5501880
10,14,321,6150140
10,15,406,6364860
10,16,523,6575460
10,17,642,6949120
10,18,767,7208440
10,19,914,7313560
10,20,1093,7445040
10,21,1292,7630640
10,22,1493,7707460
10,23,1721,7798380
10,24,1996,7948220
10,25,2267,8069380
10,26,2571,8243600
10,27,2942,8409260
10,28,3241,8524240
10,29,3654,8689140
10,30,4011,8872080
10,31,4412,9055360
10,32,4876,9232180
10,33,5380,9432720
10,34,5919,9655520
10,35,6463,9931680
10,36,7048,10145860
10,37,7719,10404340
10,38,8454,10706160
10,39,9306,11123180
10,40,10173,11665680
10,41,11019,12157220
10,42,12026,12589940
10,43,12980,13028520
10,44,13922,13495940
10,45,15021,13991180
10,46,16152,14437100
10,47,17159,14808620
10,48,18371,15464560
10,49,19509,16196400
10,50,20824,17545640
10,51,22200,18114960
10,52,23519,18681200
10,53,25029,19350540
10,54,26530,19926880
10,55,28281,20662640
10,56,29818,21305960
10,57,31358,21912020
10,58,32848,22542720
10,59,34680,23259040
10,60,36659,24255900
10,61,38601,26000520
10,62,40400,27070200
10,63,42527,27948980
10,64,44647,28861320
10,65,46731,29709220
10,66,48763,30659680
10,67,50954,31737080
10,68,53079,32712840
10,69,55739,34183640
10,70,58057,35681740
10,71,60713,36746180
10,72,63193,38265320
10,73,65989,40123500
10,74,68886,41299660
10,75,71444,42576720
10,76,74579,44673160
10,77,77372,45892860
10,78,80627,47295160
10,79,83948,49210340
10,80,86822,51072900
10,81,90669,54019900
10,82,94389,56431120
10,83,97855,57867940
10,84,101529,59526220
10,85,105624,61475000
10,86,108998,63021180
10,87,113332,66369180
10,88,117436,68462980
10,89,121343,70067520
10,90,124597,71691880
10,91,129015,73524840
10,92,134148,76190540
10,93,138691,78288280
10,94,143368,81881840
10,95,147996,84127220
10,96,152644,86761860
10,97,157572,89420060
10,98,163180,92472640
10,99,168409,97013700
10,100,174015,99579980
10,101,179835,102200220
10,102,185602,105030680
10,103,191532,107813680
10,104,196857,110366540
10,105,202275,112818720
10,106,208177,115943460
10,107,214194,118724700
10,108,219801,123075620
10,109,226572,126532820
10,110,233055,129312960
10,111,238955,132070860
10,112,246101,136803300
10,113,252158,139619540
10,114,259814,143702640
10,115,266682,147143800
10,116,273496,154162500
10,117,279976,157325960
10,118,287401,163975180
10,119,295599,168609480
10,120,302236,172007440
10,121,310652,176990180
10,122,317852,181871720
10,123,326038,185942720
10,124,333956,189546900
10,125,341798,194519300
10,126,351216,199174540
10,127,360077,203701920
10,128,367891,207694100
10,129,376271,211974780
10,130,385152,216302700
10,131,394013,221895740
10,132,402103,225964760
10,133,411976,232905620
10,134,421276,239308400
10,135,432003,244160960
10,136,441397,252081360
10,137,451485,257390820
10,138,462081,263387320
10,139,472206,268326180
10,140,483064,273220280
10,141,492964,277744500
10,142,503380,282285660
10,143,514654,287457780
10,144,525799,292687840
10,145,536591,297772180
10,146,546423,302341940
10,147,557755,307920880
10,148,568639,313167720
10,149,579123,318020440
10,150,591703,324168920
