WALLS, MAZE, NODES EXPANDED, RUN TIME
10,10,46,821820
10,15,136,2988120
10,20,328,7320420
10,25,610,8255680
10,30,1010,8830260
10,35,1652,9265360
10,40,2441,9566260
10,45,3465,10023580
10,50,4649,10507840
10,55,6300,11157840
10,60,8391,12091560
10,65,10291,12853580
10,70,12571,13773820
10,75,15502,14968380
10,80,18694,16255540
10,85,21905,17594640
10,90,26381,19554540
10,95,30864,22283580
10,100,36262,24896740
10,105,41861,27436980
10,110,48863,31102020
10,115,56717,34679780
10,120,63502,38290980
10,125,70540,41974560
10,130,79127,46049480
10,135,88879,51065820
10,140,100311,57000160
10,145,110569,62405600
10,150,122375,69241460
