WALLS, MAZE, NODES EXPANDED, RUN TIME
50,10,35,695240
50,15,91,2095480
50,20,211,5919140
50,25,393,8939180
50,30,667,9302000
50,35,996,9668460
50,40,1564,10075440
50,45,2251,10375000
50,50,3161,10798120
50,55,4350,11401600
50,60,5873,12107420
50,65,7493,12869240
50,70,9306,13823260
50,75,11840,15005840
50,80,14629,16352860
50,85,17081,18573260
50,90,20342,20424620
50,95,24222,22857520
50,100,28494,24930920
50,105,32966,27469980
50,110,38296,31057000
50,115,44069,34616140
50,120,50728,38783580
50,125,57684,43257620
50,130,64901,48486780
50,135,73555,53604780
50,140,82729,58751860
50,145,92127,63904780
50,150,100767,69799600
