MAZE, WALLS,NODES EXPANDED, RUN TIME
10,10,33,752240
10,11,76,1897880
10,12,129,2960600
10,13,191,3609080
10,14,268,4293240
10,15,374,4951660
10,16,478,5888240
10,17,610,6304860
10,18,743,6668540
10,19,931,6852140
10,20,1104,6955120
10,21,1296,7105920
10,22,1496,7177080
10,23,1743,7265980
10,24,2012,7365140
10,25,2251,7451660
10,26,2571,7600760
10,27,2855,7704720
10,28,3229,7844260
10,29,3652,7999560
10,30,4060,8209600
10,31,4514,8384980
10,32,4958,8558660
10,33,5431,8760700
10,34,5920,8941740
10,35,6556,9249760
10,36,7236,9530740
10,37,7961,9807400
10,38,8595,10037580
10,39,9288,10303640
10,40,10138,10635220
10,41,11030,11027100
10,42,11888,11399180
10,43,12782,11725480
10,44,13679,12088340
10,45,14665,12468680
10,46,15661,12853080
10,47,16732,13271020
10,48,17931,13720120
10,49,18990,14115440
10,50,20222,14597560
